	Source	Target	inside
75337	98649929@N04	12189850@N08	True
75354	98649929@N04	47968802@N08	True
75496	98649929@N04	51176312@N07	True
75549	98649929@N04	72647602@N04	True
76346	44544845@N08	33650137@N05	True
77147	120723552@N04	125601701@N03	True
78723	23944110@N00	60199917@N02	True
80039	49445699@N00	190829865@N08	True
80160	14829735@N00	37472264@N04	True
80819	96099495@N05	64148082@N02	True
81256	145400672@N02	138486769@N02	True
81310	141429878@N03	130345501@N04	True
81319	141429878@N03	145895983@N08	True
81430	141429878@N03	151518259@N02	True
81591	141429878@N03	10818592@N04	True
82379	146838317@N05	157106216@N08	True
82402	146838317@N05	142083289@N03	True
82440	146838317@N05	190508002@N07	True
82748	146838317@N05	138486769@N02	True
83434	29280961@N03	13817902@N00	True
83777	29280961@N03	64148082@N02	True
84125	31023949@N03	141443760@N06	True
84455	100629421@N07	39936286@N04	True
84887	48919176@N05	135366503@N05	True
85334	131199924@N02	39936286@N04	True
85710	97904844@N08	57807042@N08	True
86304	190829865@N08	136016292@N03	True
86308	190829865@N08	146487476@N02	True
86659	88380809@N07	53191561@N03	True
86784	88380809@N07	64148082@N02	True
87176	88380809@N07	72647602@N04	True
87466	188717768@N07	91128227@N04	True
87501	188717768@N07	34326197@N04	True
87790	188717768@N07	130828646@N02	True
87889	188717768@N07	138486769@N02	True
87921	188717768@N07	52099710@N07	True
88288	39936286@N04	100629421@N07	True
88782	126826552@N05	135924873@N02	True
89031	126826552@N05	138486769@N02	True
90039	47247560@N03	130345501@N04	True
90211	47247560@N03	148125504@N04	True
90262	47247560@N03	64148082@N02	True
90328	47247560@N03	10818592@N04	True
90453	47247560@N03	149556095@N03	True
90762	47247560@N03	23090570@N04	True
90780	144576996@N06	186806289@N06	True
91576	127547040@N07	53400673@N08	True
91802	87413031@N03	33650137@N05	True
91856	112273443@N02	145895983@N08	True
91894	112273443@N02	123016824@N05	True
91995	112273443@N02	141840400@N04	True
