	Source	Target	inside
43619	189387901@N05	8154764@N03	True
43694	189387901@N05	61190890@N06	True
43729	189387901@N05	192350478@N02	True
43731	189387901@N05	38712633@N04	True
43748	189387901@N05	154547444@N06	True
43764	189387901@N05	58625702@N07	True
43765	189387901@N05	42949625@N05	True
43820	189387901@N05	131021490@N02	True
43832	189387901@N05	39906815@N05	True
43834	189387901@N05	150614452@N05	True
43847	189387901@N05	11087887@N03	True
43855	189387901@N05	93388157@N07	True
43973	189387901@N05	8733637@N04	True
44629	74411818@N00	64941417@N03	True
44668	74411818@N00	29780762@N07	True
44776	74411818@N00	67342107@N00	True
45418	57224934@N00	46956042@N00	True
45808	57224934@N00	64941417@N03	True
46029	57224934@N00	154547444@N06	True
46057	57224934@N00	7569767@N05	True
46062	57224934@N00	66352243@N06	True
46218	57224934@N00	131021490@N02	True
46486	66352243@N06	57224934@N00	True
46583	161392673@N02	29780762@N07	True
46892	165883554@N04	36350804@N02	True
47019	165883554@N04	8154764@N03	True
47172	165883554@N04	61190890@N06	True
47252	165883554@N04	38712633@N04	True
47282	165883554@N04	154547444@N06	True
47481	165883554@N04	189387901@N05	True
47503	165883554@N04	11087887@N03	True
47521	165883554@N04	93388157@N07	True
47707	165883554@N04	69841044@N02	True
47713	165883554@N04	137342563@N03	True
47817	40165750@N06	87413031@N03	True
48073	109522904@N02	29280372@N08	True
48202	21729884@N02	42152648@N06	True
48430	21729884@N02	75906263@N02	True
48604	21729884@N02	163714109@N03	True
