		self	friend	interest	mutual
8733637@N04	66296731@N07	0	False	0.07255343082114736	False
8733637@N04	44884174@N08	0	False	0.0006662225183211193	False
8733637@N04	39906815@N05	0	False	0.001935483870967742	False
8733637@N04	69841044@N02	0	False	0.0006622516556291391	False
8733637@N04	73294780@N04	0	False	0.002012072434607646	False
8733637@N04	71267357@N06	0	False	0.004475703324808184	False
8733637@N04	185035056@N05	0	False	0.0025364616360177552	False
8733637@N04	32167019@N00	0	False	0	False
8733637@N04	31230004@N06	0	False	0	False
8733637@N04	29780762@N07	0	False	0.032898468519568916	False
8733637@N04	140617645@N02	0	False	0	False
8733637@N04	99228523@N00	0	False	0.0006510416666666666	False
8733637@N04	107735426@N07	0	False	0.0006729475100942127	False
8733637@N04	158502938@N02	0	False	0.0037313432835820895	False
8733637@N04	130828646@N02	0	False	0.01885902876001886	False
8733637@N04	67665515@N07	0	False	0.0011494252873563218	False
8733637@N04	54786783@N06	0	False	0	False
8733637@N04	105006775@N06	0	False	0	False
8733637@N04	92410264@N06	0	False	0.01325301204819277	False
8733637@N04	20478684@N00	0	False	0.0019430051813471502	False
8733637@N04	23286095@N05	0	False	0.015555555555555555	False
8733637@N04	18259771@N00	0	False	0	False
8733637@N04	36037277@N07	0	False	0	False
8733637@N04	52187935@N08	0	False	0.013725490196078431	False
8733637@N04	88071289@N03	0	False	0.0012953367875647669	False
8733637@N04	52122658@N00	0	False	0.00892325996430696	False
8733637@N04	136625508@N02	0	False	0	False
8733637@N04	67825007@N00	0	False	0.0006635700066357001	False
8733637@N04	126334529@N05	0	True	0.04735202492211838	False
8733637@N04	131263451@N06	0	False	0	False
8733637@N04	23363966@N02	0	True	0.10040774719673802	True
8733637@N04	8126893@N02	0	False	0.0036596523330283625	False
8733637@N04	193874466@N08	0	False	0.009427609427609427	False
8733637@N04	14925782@N06	0	False	0.010101010101010102	False
8733637@N04	147135779@N02	0	False	0.006217120994739359	False
8733637@N04	23321258@N00	0	False	0	False
8733637@N04	49914237@N02	0	False	0.010549694614103275	False
8733637@N04	64538366@N02	0	False	0.0028360748723766306	False
8733637@N04	193100973@N07	0	False	0.02297383535417996	False
8733637@N04	163714109@N03	0	False	0	False
8733637@N04	134632544@N06	0	False	0.007334963325183374	False
8733637@N04	150835856@N06	0	False	0.0018832391713747645	False
8733637@N04	61028407@N05	0	False	0.018034265103697024	False
8733637@N04	66127977@N00	0	False	0.03375959079283888	False
8733637@N04	144456186@N03	0	False	0	False
8733637@N04	75906263@N02	0	False	0	False
8733637@N04	69168328@N00	0	False	0	False
8733637@N04	154141673@N06	0	False	0	False
8733637@N04	146923392@N03	0	False	0	False
8733637@N04	56335302@N00	0	False	0	False
8733637@N04	8154764@N03	0	False	0.022535211267605635	False
8733637@N04	23126865@N02	0	False	0	False
8733637@N04	194111844@N05	0	False	0	False
8733637@N04	11087887@N03	0	False	0.010376134889753566	False
8733637@N04	63181453@N04	0	False	0	False
8733637@N04	69506664@N06	0	False	0.011806375442739079	False
8733637@N04	31623674@N00	0	True	0	False
8733637@N04	100251406@N07	0	False	0.045545688914351186	False
8733637@N04	105752074@N04	0	False	0.0006142506142506142	False
8733637@N04	50778036@N00	0	False	0	False
8733637@N04	56513965@N06	0	False	0	False
8733637@N04	117679407@N08	0	False	0.003972758229284903	False
8733637@N04	23515414@N04	0	False	0.004492939666238768	False
8733637@N04	33195950@N00	0	False	0	False
8733637@N04	139755118@N08	0	False	0.014905149051490514	False
8733637@N04	193211318@N07	0	False	0	False
8733637@N04	87244892@N00	0	False	0	False
8733637@N04	154981314@N04	0	False	0.0029865604778496766	False
8733637@N04	93388157@N07	0	True	0.051206592113007654	False
8733637@N04	58625702@N07	0	False	0.008181246066708621	False
8733637@N04	149556095@N03	0	False	0.00872382851445663	False
8733637@N04	46191841@N00	0	False	0.011806981519507187	False
8733637@N04	193808151@N03	0	False	0	False
8733637@N04	163056744@N04	0	False	0	False
8733637@N04	20894540@N00	0	False	0.0025624599615631004	False
8733637@N04	98564894@N00	0	False	0.011130638547158758	False
8733637@N04	12639178@N07	0	False	0	False
8733637@N04	34326197@N04	0	False	0.005750798722044728	False
8733637@N04	193006463@N04	0	False	0.0020161290322580645	False
8733637@N04	38712633@N04	0	False	0.014585764294049008	False
8733637@N04	151639852@N07	0	False	0	False
8733637@N04	79051158@N06	0	False	0	False
8733637@N04	124317748@N06	0	False	0.030375223347230494	False
8733637@N04	55267995@N04	0	False	0.0006506180871828237	False
8733637@N04	154547444@N06	0	False	0.0221483942414175	False
8733637@N04	186066883@N06	0	False	0	False
8733637@N04	64572825@N00	0	False	0.022691292875989446	False
8733637@N04	59165785@N03	0	False	0	False
8733637@N04	26637609@N00	0	False	0	False
8733637@N04	94163223@N00	0	False	0.012954966070326958	False
8733637@N04	46935569@N08	0	False	0.010562052055827989	False
8733637@N04	193105688@N08	0	False	0	False
8733637@N04	137342563@N03	0	False	0.022974607013301087	False
8733637@N04	27905247@N00	0	False	0	False
8733637@N04	29785695@N00	0	False	0.006756756756756757	False
8733637@N04	69663264@N03	0	False	0.020556227327690448	False
8733637@N04	191617821@N04	0	False	0.0177153329260843	False
