	0	1
135	8733637@N04	77415198@N08
136	8733637@N04	114973983@N05
137	8733637@N04	35929608@N03
138	8733637@N04	185673430@N02
139	8733637@N04	41784504@N00
140	8733637@N04	36869785@N07
141	8733637@N04	28169156@N03
142	8733637@N04	137390442@N04
143	8733637@N04	145811943@N04
144	8733637@N04	164173524@N07
145	8733637@N04	81821776@N06
146	8733637@N04	82437376@N06
147	8733637@N04	86921830@N00
148	8733637@N04	112412793@N05
149	8733637@N04	31142172@N07
150	8733637@N04	47381765@N04
151	8733637@N04	25884153@N02
152	8733637@N04	164749416@N06
153	8733637@N04	76730044@N04
154	8733637@N04	127554398@N02
155	8733637@N04	131297147@N05
156	8733637@N04	99426798@N06
157	8733637@N04	111929114@N05
158	8733637@N04	64472650@N05
159	8733637@N04	32807552@N03
160	8733637@N04	156413185@N07
161	8733637@N04	23363966@N02
162	8733637@N04	186028052@N03
163	8733637@N04	169503937@N06
164	8733637@N04	59871731@N06
165	8733637@N04	98646874@N04
166	8733637@N04	129030344@N05
167	8733637@N04	188824355@N06
168	8733637@N04	125021452@N04
169	8733637@N04	21924316@N02
170	8733637@N04	131749449@N07
171	8733637@N04	50100930@N04
172	8733637@N04	121819553@N04
173	8733637@N04	61077945@N08
174	8733637@N04	89048463@N00
175	8733637@N04	38748820@N02
176	8733637@N04	125260664@N06
177	8733637@N04	64953188@N02
178	8733637@N04	96717912@N04
179	8733637@N04	24494149@N02
180	8733637@N04	126433814@N04
181	8733637@N04	36009086@N05
182	8733637@N04	68614928@N00
183	8733637@N04	185402769@N02
184	8733637@N04	74446530@N00
185	8733637@N04	128682884@N02
186	8733637@N04	112565704@N02
187	8733637@N04	96284605@N05
188	8733637@N04	62942226@N00
189	8733637@N04	147091532@N02
190	8733637@N04	138801503@N07
191	8733637@N04	24055541@N05
192	8733637@N04	29428353@N02
193	8733637@N04	43349786@N03
194	8733637@N04	76853756@N02
195	8733637@N04	149452345@N05
196	8733637@N04	47677003@N06
197	8733637@N04	141432360@N02
198	8733637@N04	157077621@N05
199	8733637@N04	34474056@N07
200	8733637@N04	126744325@N07
201	8733637@N04	52137344@N06
202	8733637@N04	133169783@N04
203	8733637@N04	184324470@N04
204	8733637@N04	30279041@N04
205	8733637@N04	79753533@N02
206	8733637@N04	80688018@N00
207	8733637@N04	93696247@N08
208	8733637@N04	86168926@N05
209	8733637@N04	143319852@N03
210	8733637@N04	124643127@N02
211	8733637@N04	99625451@N02
212	8733637@N04	149041850@N05
213	8733637@N04	78970829@N05
214	8733637@N04	190647871@N04
215	8733637@N04	147400290@N04
216	8733637@N04	142004919@N02
217	8733637@N04	78176374@N07
218	8733637@N04	50150232@N02
219	8733637@N04	93100649@N02
220	8733637@N04	63259268@N02
221	8733637@N04	29533980@N05
222	8733637@N04	10275023@N05
223	8733637@N04	82404722@N05
224	8733637@N04	37908414@N00
225	8733637@N04	157727784@N03
226	8733637@N04	124999714@N04
227	8733637@N04	29993649@N00
228	8733637@N04	33922391@N02
229	8733637@N04	34419196@N07
230	8733637@N04	156624732@N05
231	8733637@N04	52581810@N02
232	8733637@N04	33934821@N03
233	8733637@N04	131235586@N07
234	8733637@N04	30377367@N08
235	8733637@N04	120448505@N06
236	8733637@N04	95194872@N08
237	8733637@N04	73215715@N03
238	8733637@N04	58379977@N00
239	8733637@N04	102749329@N03
240	8733637@N04	63765723@N00
241	8733637@N04	39839593@N00
242	8733637@N04	48535413@N06
243	8733637@N04	30081535@N03
244	8733637@N04	42757456@N00
245	8733637@N04	119315757@N06
