		self	friend	interest	mutual
63829447@N04	44104611@N05	0	False	0.021052631578947368	False
63829447@N04	11595106@N03	0	False	0	False
63829447@N04	98402793@N00	0	False	0.03067484662576687	False
63829447@N04	75429645@N05	0	False	0	False
63829447@N04	89442637@N08	0	False	0	False
63829447@N04	158370200@N03	0	False	0	False
63829447@N04	133023063@N04	0	False	0.0011350737797956867	False
63829447@N04	45527691@N00	0	False	0	False
63829447@N04	11234156@N05	0	False	0.008547008547008548	False
63829447@N04	157592834@N04	0	False	0	False
63829447@N04	106649870@N03	0	False	0	False
63829447@N04	53279392@N06	0	False	0.02564102564102564	False
63829447@N04	90469716@N00	0	False	0.004573170731707317	False
63829447@N04	55453048@N03	0	False	0	False
63829447@N04	18015995@N07	0	False	0.01	False
63829447@N04	124528896@N04	0	False	0	False
63829447@N04	104170763@N02	0	False	0.016181229773462782	False
63829447@N04	30199947@N07	0	False	0.008849557522123894	False
63829447@N04	136999683@N06	0	False	0	False
63829447@N04	160461094@N05	0	False	0	False
63829447@N04	91651135@N07	0	False	0	False
63829447@N04	26380940@N03	0	False	0.015625	False
63829447@N04	44910505@N07	0	False	0	False
63829447@N04	49603119@N00	0	False	0	False
63829447@N04	136933004@N08	0	False	0.024390243902439025	False
63829447@N04	99911502@N03	0	False	0.0019230769230769232	False
63829447@N04	7287512@N02	0	False	0.021739130434782608	False
63829447@N04	8859561@N08	0	False	0	False
63829447@N04	64977817@N00	0	False	0	False
63829447@N04	32136054@N03	0	False	0.025	False
63829447@N04	128337749@N02	0	False	0	False
63829447@N04	10512012@N08	0	False	0	False
63829447@N04	90028379@N00	0	False	0.016778523489932886	False
63829447@N04	127423136@N05	0	False	0	False
63829447@N04	59747042@N04	0	False	0	False
63829447@N04	50741374@N08	0	False	0	False
63829447@N04	58300999@N04	0	False	0	False
63829447@N04	15752424@N05	0	False	0	False
63829447@N04	125170622@N08	0	False	0	False
63829447@N04	61335904@N04	0	False	0	False
63829447@N04	158874384@N02	0	False	0	False
63829447@N04	134107008@N02	0	False	0.004484304932735426	False
63829447@N04	28571579@N03	0	False	0.027777777777777776	False
63829447@N04	145984540@N08	0	False	0	False
63829447@N04	117466885@N06	0	False	0	False
63829447@N04	57551150@N00	0	False	0.006329113924050633	False
63829447@N04	100853339@N07	0	False	0	False
63829447@N04	50658691@N04	0	False	0.029411764705882353	False
63829447@N04	100824081@N06	0	False	0	False
63829447@N04	13325044@N05	0	False	0.02127659574468085	False
63829447@N04	73199446@N00	0	False	0.009375	False
63829447@N04	90279016@N08	0	False	0	False
